,GO_id,GO_name,GO_kind
0,,,
1,GO:0000001,mitochondrion inheritance,biological_process
2,GO:0000002,mitochondrial genome maintenance,biological_process
3,GO:0000003,reproduction,biological_process
4,GO:0000005,obsolete ribosomal chaperone activity,molecular_function
5,GO:0000006,high-affinity zinc transmembrane transporter activity,molecular_function
6,GO:0000007,low-affinity zinc ion transmembrane transporter activity,molecular_function
7,GO:0000008,obsolete thioredoxin,molecular_function
8,GO:0000009,"alpha-1,6-mannosyltransferase activity",molecular_function
9,GO:0000010,trans-hexaprenyltranstransferase activity,molecular_function
10,GO:0000011,vacuole inheritance,biological_process
11,GO:0000012,single strand break repair,biological_process
12,GO:0000014,single-stranded DNA endodeoxyribonuclease activity,molecular_function
13,GO:0000015,phosphopyruvate hydratase complex,cellular_component
14,GO:0000016,lactase activity,molecular_function
15,GO:0000017,alpha-glucoside transport,biological_process
16,GO:0000018,regulation of DNA recombination,biological_process
17,GO:0000019,regulation of mitotic recombination,biological_process
18,GO:0000020,obsolete negative regulation of recombination within rDNA repeats,biological_process
19,GO:0000022,mitotic spindle elongation,biological_process
20,GO:0000023,maltose metabolic process,biological_process
21,GO:0000024,maltose biosynthetic process,biological_process
22,GO:0000025,maltose catabolic process,biological_process
23,GO:0000026,"alpha-1,2-mannosyltransferase activity",molecular_function
24,GO:0000027,ribosomal large subunit assembly,biological_process
25,GO:0000028,ribosomal small subunit assembly,biological_process
26,GO:0000030,mannosyltransferase activity,molecular_function
27,GO:0000031,mannosylphosphate transferase activity,molecular_function
28,GO:0000032,cell wall mannoprotein biosynthetic process,biological_process
29,GO:0000033,"alpha-1,3-mannosyltransferase activity",molecular_function
30,GO:0000034,adenine deaminase activity,molecular_function
31,GO:0000035,acyl binding,molecular_function
32,GO:0000036,acyl carrier activity,molecular_function
33,GO:0000038,very long-chain fatty acid metabolic process,biological_process
34,GO:0000039,obsolete plasma membrane long-chain fatty acid transporter,molecular_function
35,GO:0000041,transition metal ion transport,biological_process
36,GO:0000044,obsolete ascorbate stabilization,biological_process
37,GO:0000045,autophagosome assembly,biological_process
38,GO:0000047,obsolete Rieske iron-sulfur protein,molecular_function
39,GO:0000048,peptidyltransferase activity,molecular_function
40,GO:0000049,tRNA binding,molecular_function
41,GO:0000050,urea cycle,biological_process
42,GO:0000051,obsolete urea cycle intermediate metabolic process,biological_process
43,GO:0000052,citrulline metabolic process,biological_process
44,GO:0000053,argininosuccinate metabolic process,biological_process
45,GO:0000054,ribosomal subunit export from nucleus,biological_process
46,GO:0000055,ribosomal large subunit export from nucleus,biological_process
47,GO:0000056,ribosomal small subunit export from nucleus,biological_process
48,GO:0000059,"obsolete protein import into nucleus, docking",biological_process
49,GO:0000060,"obsolete protein import into nucleus, translocation",biological_process
50,GO:0000061,"obsolete protein import into nucleus, substrate release",biological_process
51,GO:0000062,fatty-acyl-CoA binding,molecular_function
52,GO:0000064,L-ornithine transmembrane transporter activity,molecular_function
53,GO:0000067,obsolete DNA replication and chromosome cycle,biological_process
54,GO:0000070,mitotic sister chromatid segregation,biological_process
55,GO:0000072,obsolete M phase specific microtubule process,biological_process
56,GO:0000073,initial mitotic spindle pole body separation,biological_process
57,GO:0000075,cell cycle checkpoint,biological_process
58,GO:0000076,DNA replication checkpoint,biological_process
59,GO:0000077,DNA damage checkpoint,biological_process
60,GO:0000078,obsolete cytokinesis after mitosis checkpoint,biological_process
61,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,biological_process
62,GO:0000080,mitotic G1 phase,biological_process
63,GO:0000082,G1/S transition of mitotic cell cycle,biological_process
