## FlyBase Gene Snapshot Report
## Generated: Wed Nov 25 22:32:29 2020
## Using datasource: dbi:Pg:dbname=fb_2020_06_reporting;host=flysql20;port=5432...
## Genes that currently do not have a gene snapshot are included in this file and marked with "Contributions welcome." in the gene_snapshot_text column.

##FBgn_ID	GeneSymbol	GeneName	datestamp	gene_snapshot_text
FBgn0262029	d	dachs	20190307	dachs (d) encodes a myosin family protein that participates in Dachsous-Fat signaling, which polarizes its localization. It influences planar cell polarity, partly through interaction with the product of pk, and growth, through interaction with the product of wts.
FBgn0052532	CG32532	-	-	Contributions welcome.
FBgn0023536	CG3156	-	-	Contributions welcome.
FBgn0029718	mRpL30	mitochondrial ribosomal protein L30	-	Contributions welcome.
FBgn0031101	CG1631	-	-	Contributions welcome.
FBgn0030952	CG12609	-	-	Contributions welcome.
FBgn0265767	zyd	zydeco	20190321	zydeco (zyd) encodes a potassium-dependent sodium/calcium exchanger found in cortex glia. It is thought to serve as a key calcium export pathway to control calcium oscillations that occur in membrane microdomains of the glial cell.
FBgn0030514	CG9941	-	-	Contributions welcome.
FBgn0003950	unc	uncoordinated	20190321	uncoordinated (unc) encodes a basal body-associated protein that is required for normal ciliogenesis. unc depletion results in spermatids with defective flagella and truncated cilia in mechanosensory and chemosensory neurons. Its name arises from the severe uncoordination phenotype due to a lack of proprioceptive sensory feedback.
FBgn0260799	p120ctn	Adherens junction protein p120	20190314	Adherens junction protein p120 (p120ctn) encodes an important modulator of cell adhesion. It binds to and stabilizes classic cadherin cell adhesion receptors at the cell surface. Unlike its mammalian homologs, it is non-essential but becomes essential if the levels of the product of shg are reduced.
FBgn0265630	sno	strawberry notch	20190926	strawberry notch (sno) encodes a nuclear protein that functions in Notch signaling pathway during imaginal disc development. In the developing eye imaginal disc, the product of sno functions downstream of RTK signaling to regulate the expression of the products of N and Dl in the specification of cone and pigment cells.
FBgn0266000	CG44774	-	-	Contributions welcome.
FBgn0040670	e(y)2b	enhancer of yellow 2b	-	Contributions welcome.
FBgn0053919	CG33919	-	-	Contributions welcome.
FBgn0026378	Rep	Rab escort protein	-	Contributions welcome.
FBgn0028475	Hrd3	HMG-coA reductase degradation 3	-	Contributions welcome.
FBgn0264330	CG43789	-	-	Contributions welcome.
FBgn0265272	CG30060	-	-	Contributions welcome.
FBgn0035868	CG7194	-	-	Contributions welcome.
FBgn0261536	CG42660	-	-	Contributions welcome.
FBgn0033185	CG1603	-	-	Contributions welcome.
FBgn0000337	cn	cinnabar	20180906	cinnabar (cn) encodes the enzyme that synthesizes 3-hydroxykynurenine (3-HK) as part of the kynurenine pathway of tryptophan degradation. 3-HK is an intermediate product in the formation of ommochromes, the brown pigments in the fly eye, and thus cn loss of function mutant flies exhibit altered eye color. Several kynurenine pathway metabolites are neuroactive and have been linked to the pathogenesis of neurodegenerative disorders.
FBgn0030158	CG9686	-	-	Contributions welcome.
FBgn0261537	CG42661	-	-	Contributions welcome.
FBgn0264296	CG43774	-	-	Contributions welcome.
FBgn0034008	CG8152	-	-	Contributions welcome.
FBgn0264298	CG43776	-	-	Contributions welcome.
FBgn0034774	CG13526	-	-	Contributions welcome.
FBgn0265362	CG44303	-	-	Contributions welcome.
FBgn0039584	beat-VI	beaten path VI	-	Contributions welcome.
FBgn0053993	CG33993	-	-	Contributions welcome.
FBgn0033569	CG12942	-	-	Contributions welcome.
FBgn0264301	CG43779	-	-	Contributions welcome.
FBgn0032030	Wdr82	WD repeat domain 82	20190321	WD repeat domain 82 (Wdr82) encodes a component of the Compass complex, which performs K4 methylation of the histone encoded by His3.
FBgn0033164	CG11112	-	-	Contributions welcome.
FBgn0038063	Octbeta2R	Octopamine beta2 receptor	-	Contributions welcome.
FBgn0083167	Neb-cGP	Neb-cGP	-	Contributions welcome.
FBgn0043070	MESK2	Misexpression suppressor of KSR 2	-	Contributions welcome.
FBgn0264302	wrm1	wurmchen 1	-	Contributions welcome.
FBgn0010352	Nc73EF	Neural conserved at 73EF	-	Contributions welcome.
FBgn0030993	Mec2	Mec2	-	Contributions welcome.
FBgn0025720	Ate1	Arginyltransferase 1	20190307	Arginyltransferase 1 (Ate1) encodes a putative arginyltransferase involved in protein arginylation based on orthology.
FBgn0051515	CG31515	-	-	Contributions welcome.
FBgn0034437	CG10051	-	-	Contributions welcome.
FBgn0262740	Evi5	Ecotropic viral integration site 5	-	Contributions welcome.
FBgn0040356	CG12498	-	-	Contributions welcome.
FBgn0039656	CG11951	-	-	Contributions welcome.
FBgn0026086	Adar	Adenosine deaminase acting on RNA	20190307	Adenosine deaminase acting on RNA (Adar) encodes an RNA editing enzyme. It is involved in behaviour, glucose metabolism and response to several stresses such as heat, hypoxia and oxidative stress.
FBgn0035010	CG13579	-	-	Contributions welcome.
FBgn0051721	Trim9	Tripartite motif containing 9	20190314	Tripartite motif containing 9 (Trim9) encodes a ring finger domain-containing E3 ubiquitin ligase that contributes to neurogenesis, axon guidance, eye development and regulation of locomotive behaviour.
FBgn0083991	CG34155	-	-	Contributions welcome.
FBgn0030955	CG6891	-	-	Contributions welcome.
FBgn0263974	qin	qin	20190627	qin (qin) is a piRNA pathway gene that encodes a protein involved in posttranscriptional gene silencing.
FBgn0037290	CG1124	-	-	Contributions welcome.
FBgn0030492	CG15754	-	-	Contributions welcome.
FBgn0032644	CG5131	-	-	Contributions welcome.
FBgn0031628	CG3294	-	-	Contributions welcome.
FBgn0050491	CG30491	-	-	Contributions welcome.
FBgn0037069	Cpr78Cc	Cuticular protein 78Cc	-	Contributions welcome.
FBgn0085521	CG40813	-	-	Contributions welcome.
FBgn0027556	CG4928	-	-	Contributions welcome.
FBgn0261262	CG42613	-	-	Contributions welcome.
FBgn0053269	CG33269	-	-	Contributions welcome.
FBgn0037584	CG7963	-	-	Contributions welcome.
FBgn0050461	CG30461	-	20190307	CG30461 encodes a protein that is likely a recent partial duplicate of the type I prenyl protease encoded by ste24c.
FBgn0030228	BTBD9	BTB (POZ) domain containing 9	20190919	BTB (POZ) domain containing 9 (BTBD9) encodes a protein that regulates brain dopamine levels and the circadian sleep/wake cycle.
FBgn0039108	CG10232	-	-	Contributions welcome.
FBgn0000808	gd	gastrulation-defective	20190307	gastrulation-defective (gd) encodes a secreted serine protease. It is a member of the protease cascade that generates the ligand that activates the receptor encoded by Tl. It contributes to establishment of the dorsal-ventral embryonic axis.
FBgn0032961	CG1416	-	-	Contributions welcome.
FBgn0051954	CG31954	-	-	Contributions welcome.
FBgn0000964	tj	traffic jam	20190314	traffic jam (tj) encodes a Maf transcription factor that functions as regulator of multiple gonad morphogenesis processes including collective cell migration during oogenesis and stem cell specification downstream of Notch signaling during spermatogenesis.
FBgn0034800	CG3788	-	-	Contributions welcome.
FBgn0261602	RpL8	Ribosomal protein L8	20190711	Ribosomal protein L8 (RpL8) encodes a ribosomal structural constituent.
FBgn0263997	CG43740	-	-	Contributions welcome.
FBgn0038558	CG12347	-	-	Contributions welcome.
FBgn0015380	drl	derailed	20190307	derailed (drl) encodes an atypical receptor tyrosine kinase with the product of Wnt5 as a ligand. It controls axon guidance events during neural development.
